,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,Half Moon Bay,37.4636,-122.4286,56.86,62,0,28.63,US,1569736800
276,Vostok,46.448,135.8294,59.56,67,87,8.75,RU,1569736800
277,Laguna,16.1684,-88.941,78.44,98,69,2.3,BZ,1569736800
278,Orotukan,62.2623,151.6749,27.14,93,100,3.27,RU,1569736800
279,Haines Junction,60.7527,-137.5101,30.44,49,85,2.93,CA,1569736800
280,Aden,12.7896,45.0285,89.73,56,97,9.44,YE,1569736800
281,Baruun-Urt,46.6808,113.2846,67.36,40,41,12.71,MN,1569736800
282,Santa Ana,30.5437,-111.1213,76.18,59,0,5.08,MX,1569736800
283,Itupiranga,-5.1338,-49.3322,77.81,86,55,3.31,BR,1569736800
284,Kondinskoye,59.6518,67.4118,36.61,73,12,10.07,RU,1569736800
285,Maragogi,-9.0119,-35.2226,72.27,87,89,5.26,BR,1569736800
286,Matara,-3.4812,29.4807,62.41,64,83,5.12,BI,1569736800
287,Hofn,64.2539,-15.2082,35.12,93,94,13.49,IS,1569736800
288,Mayo,63.5927,-135.8962,30.94,72,54,1.01,CA,1569736800
289,Ponta do Sol,-20.6335,-45.9989,62.21,85,15,4.7,BR,1569736800
290,Mayya,61.7422,130.2812,41.68,61,39,11.54,RU,1569736800
291,Blagnac,43.6434,1.378,57.26,84,0,6.73,FR,1569736800
292,Gizo,31.8041,34.9381,77.42,68,27,2.39,IL,1569736800
293,Pangkalanbuun,-2.6834,111.6167,90.72,48,68,4.47,ID,1569736800
294,Ilhabela,-23.7781,-45.3581,66.73,79,89,12.62,BR,1569736800
295,Fairbanks,64.8378,-147.7167,42.85,67,100,3.87,US,1569736800
296,Eydhafushi,5.1033,73.0708,82.26,69,83,5.26,MV,1569736800
297,Saint-Michel-des-Saints,46.6786,-73.9177,42.89,94,10,5.7,CA,1569736800
298,Rio Claro,-22.4109,-47.5609,60.44,91,0,5.86,BR,1569736800
299,Ahipara,-35.1665,173.1562,64.56,84,47,17.11,NZ,1569736800
300,Nemuro,43.3236,145.575,66.89,73,18,13.56,JP,1569736800
301,Luderitz,-26.6481,15.1594,56.45,87,96,6.71,NA,1569736800
302,Yelizovo,53.1865,158.3837,53.46,71,99,5.06,RU,1569736800
303,Vestmannaeyjar,63.4427,-20.2734,48.11,87,0,3.09,IS,1569736800
304,Grindavik,63.8424,-22.4338,47.36,75,0,9.78,IS,1569736800
305,Catuday,16.2923,119.8062,84.13,75,85,8.43,PH,1569736800
306,Ovre Ardal,61.3167,7.8,38.02,91,100,1.14,NO,1569736800
307,Winslow,51.9444,-0.882,60.17,89,100,17.72,GB,1569736800
308,Marawi,8.0035,124.2866,84.15,71,86,5.46,PH,1569736800
309,Virginia Beach,36.853,-75.9775,77.51,77,68,12.01,US,1569736800
310,Baza,37.4889,-2.771,62.66,58,0,1.12,ES,1569736800
311,Yar-Sale,66.8333,70.8333,35.26,70,59,5.5,RU,1569736800
312,Saint Anthony,43.9663,-111.6822,45.79,85,100,6.13,US,1569736800
313,Saint George,39.4548,22.34,69.75,58,0,0.29,GR,1569736800
314,Inta,66.0397,60.1316,36.56,94,100,13.2,RU,1569736800
315,Cabedelo,-6.9733,-34.8352,74.91,76,83,6.78,BR,1569736800
316,Muravlenko,63.7948,74.4969,34.85,68,95,1.12,RU,1569736800
317,Longyearbyen,78.2198,15.6349,24.04,76,25,11.41,NO,1569736800
318,Ilulissat,69.2167,-51.1,40.25,69,0,4.83,GL,1569736800
319,Minab,27.1483,57.0737,95.59,58,12,9.71,IR,1569736800
320,Esmeraldas,-19.7614,-44.3146,65.57,90,77,9.24,BR,1569736800
321,Sisimiut,66.9395,-53.6735,44.26,59,5,10.89,GL,1569736800
322,Rorvik,64.8621,11.2373,51.43,89,98,15.19,NO,1569736800
323,Siguiri,11.419,-9.1746,71.59,92,69,1.83,GN,1569736800
324,Luzhou,28.8871,105.4463,86.76,42,0,2.68,CN,1569736800
325,Yulara,-25.2411,130.9869,94.57,11,63,11.14,AU,1569736800
326,Oussouye,12.489,-16.5433,80.06,83,19,14,SN,1569736800
327,Solnechnyy,50.7238,136.6401,52.24,46,0,16.04,RU,1569736800
328,Tiksi,71.6366,128.8685,31.37,68,43,8.99,RU,1569736800
329,Teguldet,57.3064,88.1672,45.18,63,21,5.1,RU,1569736800
330,Villamontes,-21.2587,-63.4727,73.94,38,0,4,BO,1569736800
331,Vao,59.1018,26.1904,52.45,93,100,8.72,EE,1569736800
332,Huilong,31.1549,106.4976,83.7,45,37,4.79,CN,1569736800
333,Bull Savanna,17.8868,-77.5903,82.57,78,14,3.89,JM,1569736800
334,Taltal,-25.408,-70.4859,49.7,89,62,4.81,CL,1569736800
335,Tekkali,18.6167,84.2333,79.36,85,100,0.47,IN,1569736800
336,Adrar,27.8734,-0.2875,86.65,18,29,9.1,DZ,1569736800
337,Ritchie,-29.0275,24.6,67.73,11,50,12.53,ZA,1569736800
338,Sisophon,13.5884,102.97,88.25,61,51,6.24,KH,1569736800
339,Zabol,31.0278,61.4948,102.06,5,0,2.62,IR,1569736800
340,Santana do Livramento,-30.8895,-55.5318,54.07,96,0,7.76,BR,1569736800
341,Broome,52.4688,1.4544,59.49,90,93,19.53,GB,1569736800
342,Bodden Town,19.2833,-81.25,84.69,78,0,9.44,KY,1569736800
343,Bulawayo,-20.1561,28.5887,72.59,13,0,5.28,ZW,1569736800
344,Camargo,27.6866,-105.1707,73.75,66,97,10.29,MX,1569736800
345,Atasu,48.6814,71.6433,41.6,60,100,10.71,KZ,1569736800
346,Malanje,-9.5439,16.3475,67.66,84,100,6.73,AO,1569736800
347,Isangel,-19.55,169.2667,79.52,81,70,5.68,VU,1569736800
348,Bardsir,29.9284,56.5717,78.14,16,0,3.98,IR,1569736800
349,Itarema,-2.9248,-39.9167,76.73,78,31,9.75,BR,1569736800
350,Scarborough,54.2848,-0.4091,53.42,93,100,19.84,GB,1569736800
351,Lompoc,34.6392,-120.458,58.77,65,0,25.59,US,1569736800
352,Beisfjord,68.3751,17.5988,38.19,89,100,7.63,NO,1569736800
353,Sebezh,56.2893,28.4826,51.77,93,100,5.93,RU,1569736800
354,Karratha,-20.7371,116.8479,93.35,15,0,18.79,AU,1569736800
355,Zhigansk,66.7656,123.3741,37.3,56,32,3.24,RU,1569736800
356,Gao,16.2788,-0.0413,86.72,34,0,11.43,ML,1569736800
357,Gravdal,59.7913,5.7785,51.86,84,37,3.4,NO,1569736800
358,Valparaiso,41.4731,-87.0612,62.42,81,86,8.93,US,1569736800
359,Taoudenni,22.6783,-3.9837,88.25,11,16,5.23,ML,1569736800
360,Elizabeth City,36.2957,-76.2248,73.78,93,53,5.73,US,1569736800
361,Bethel,60.7922,-161.7559,48.38,98,100,7.87,US,1569736800
362,Kruisfontein,-34.0034,24.7314,62.32,88,100,4.03,ZA,1569736800
363,Geraldton,49.7189,-86.9494,34.38,70,54,3.74,CA,1569736800
364,Lilongwe,-13.9735,33.7878,73.89,30,47,9.01,MW,1569736800
365,Uruzgan,32.9278,66.6325,72.5,9,0,8.68,AF,1569736800
366,Fukue,35.0335,136.6943,86.29,51,73,4.74,JP,1569736800
367,Ixtapa,20.715,-105.2067,86,80,100,6.71,MX,1569736800
368,Quzhou,28.9658,118.8649,89.89,41,0,2.26,CN,1569736800
369,Teguise,29.0605,-13.564,70.7,87,0,16.02,ES,1569736800
370,Inongo,-1.9254,18.2864,72.41,88,100,3,CD,1569736800
371,Tynda,55.1497,124.7376,41.47,38,0,6.8,RU,1569736800
372,Bilibino,68.055,166.4449,21.78,96,84,5.66,RU,1569736800
373,Lazaro Cardenas,28.3905,-105.6235,68.47,74,38,6.24,MX,1569736800
374,Hinova,44.5401,22.7777,65.23,61,1,7.67,RO,1569736800
375,Vrangel,42.7297,133.0839,75.87,52,0,4.43,RU,1569736800
376,Abu Zabad,12.35,29.25,80.05,70,1,9.73,SD,1569736800
377,Ariquemes,-9.9077,-63.0331,71.32,91,100,1.66,BR,1569736800
378,Iranshahr,27.207,60.6883,95.79,35,0,8.3,IR,1569736800
379,Comodoro Rivadavia,-45.8654,-67.4808,56.73,57,17,15.1,AR,1569736800
380,Kita,35.7558,139.7367,88.7,26,77,5.1,JP,1569736800
381,Kawalu,-7.3817,108.2082,83.36,54,67,8.14,ID,1569736800
382,Sorbhog,26.5,90.8667,72.58,91,100,3.65,IN,1569736800
383,Arman,59.7,150.1667,33.41,92,100,10.69,RU,1569736800
384,Raudeberg,61.9875,5.1352,54.27,82,99,8.12,NO,1569736800
385,Vila Franca do Campo,37.7167,-25.4334,72.38,87,1,12.88,PT,1569736800
386,Santa Cruz,-6.2248,-36.0193,69.48,80,64,10.22,BR,1569736800
387,Katangli,51.7102,143.2326,54.86,88,100,11.32,RU,1569736800
388,Lebu,8.9611,38.7254,65.89,79,34,2.39,ET,1569736800
389,Mianyang,31.4589,104.7501,80.86,48,46,5.91,CN,1569736800
390,Pangnirtung,66.149,-65.7179,35.8,90,100,4.21,CA,1569736800
391,Jalalabad,34.4302,70.4601,84.43,54,8,8.16,AF,1569736800
392,Ngunguru,-35.6167,174.5,61.81,79,96,16.53,NZ,1569736800
393,Hirara,24.8,125.2833,85.39,89,57,16.49,JP,1569736800
394,Moengo,5.6196,-54.4032,73.76,96,25,3.33,SR,1569736800
395,Petropavlovskoye,46.7863,142.4962,66.2,90,19,20.76,RU,1569736800
396,Igarka,67.4672,86.5698,34.94,84,96,4,RU,1569736800
397,Birao,10.2962,22.781,73.71,88,100,12.57,CF,1569736800
398,Oum Hadjer,13.2954,19.6966,84.49,55,96,12.12,TD,1569736800
399,Amuntai,-2.4197,115.254,101.36,31,61,0.54,ID,1569736800
400,Iskateley,67.6803,53.1512,40.09,78,100,12.1,RU,1569736800
401,Te Anau,-45.4145,167.7175,47.47,77,94,8.99,NZ,1569736800
402,Aklavik,68.2183,-135.0136,34.52,77,19,6.55,CA,1569736800
403,Saint-Ambroise,48.5575,-71.3247,40.28,91,26,5.44,CA,1569736800
404,Tuatapere,-46.1324,167.6908,53.56,69,81,27.02,NZ,1569736800
405,Kautokeino,69.0125,23.0412,32.2,94,100,14.03,NO,1569736800
406,Tuensang,26.2393,94.8147,78.37,84,99,2.44,IN,1569736800
407,Port Hardy,50.6996,-127.4199,47.57,70,0,6.38,CA,1569736800
408,Caravelas,-17.7297,-39.2661,72.47,86,100,10.22,BR,1569736800
409,Kingman,35.1894,-114.0531,70.88,42,0,11.56,US,1569736800
410,Sao Jose da Coroa Grande,-8.8978,-35.1478,72.27,87,89,5.26,BR,1569736800
411,Santa Isabel do Rio Negro,-0.4145,-65.0168,73.31,96,85,2.28,BR,1569736800
412,Limbdi,22.5674,71.8062,77.31,88,100,19.64,IN,1569736800
413,Bowen,-20.0107,148.2468,82.53,45,0,8.19,AU,1569736800
414,Bertoua,4.5777,13.6844,67.64,98,100,3.62,CM,1569736800
415,Tiarei,-17.5334,-149.3334,81.03,83,35,15.86,PF,1569736800
416,Brandon,43.5947,-96.5722,55.8,85,94,13.2,US,1569736800
417,Pontianak,-0.0227,109.3448,84.87,72,70,9.66,ID,1569736800
418,Lorengau,-2.0226,147.2712,83.23,70,13,2.46,PG,1569736800
419,Chancay,-11.5628,-77.27,61.77,91,11,8.66,PE,1569736800
420,Vuktyl,63.8567,57.3094,40.12,96,100,7.94,RU,1569736800
421,Barabai,-2.5856,115.3845,101.36,31,61,0.54,ID,1569736800
422,Fayetteville,36.0626,-94.1575,73.62,89,59,9.98,US,1569736800
423,Lukovetskiy,64.2921,41.9233,42.84,90,91,6.96,RU,1569736800
424,Bathsheba,13.2167,-59.5167,82.55,77,27,12.24,BB,1569736800
425,Riberalta,-10.9974,-66.0752,76.36,74,15,3.89,BO,1569736800
426,Norden,53.5942,7.2067,56.72,90,100,20.51,DE,1569736800
427,Viedma,-40.8086,-62.9947,59.36,38,0,10.31,AR,1569736800
428,Arlit,18.7391,7.3933,89.3,12,0,5.57,NE,1569736800
429,Jacala,21.005,-99.1901,62.55,98,99,4.09,MX,1569736800
430,Cambridge,43.3853,-80.3105,51.42,95,0,7.52,CA,1569736800
431,Hwange,-18.353,26.4987,69.71,15,12,3.67,ZW,1569736800
432,Mayskiy,43.6274,44.0608,59.87,64,79,4.74,RU,1569736800
433,Mehamn,71.035,27.8517,34.22,73,98,6.02,NO,1569736800
434,Energeticheskiy,43.4278,77.0222,75.16,41,69,7.18,KZ,1569736800
435,Basco,40.3278,-91.2002,65.73,96,100,11.12,US,1569736800
436,Blyznyuky,48.8578,36.5551,57.94,54,100,7.38,UA,1569736800
437,Agadez,16.9726,7.9907,88.92,11,0,4.61,NE,1569736800
438,Nushki,29.55,66.0167,93.87,12,0,10.31,PK,1569736800
439,Isla Mujeres,21.2311,-86.7311,82.47,91,100,6.51,MX,1569736800
440,Pontian Kecil,1.4801,103.3899,88.88,65,61,3.22,MY,1569736800
441,Ipaba,-19.4114,-42.42,68.65,77,89,2.75,BR,1569736800
442,Luan,46.3592,6.9759,52.31,80,3,4.76,CH,1569736800
443,Seymchan,62.9318,152.3933,28.98,80,100,1.88,RU,1569736800
444,Mitu,36.1986,46.0868,70.83,28,0,2.57,IR,1569736800
445,Puerto Narino,-3.7703,-70.3831,75.22,79,30,2.19,CO,1569736800
446,Meadow Lake,54.1303,-108.4351,26.84,76,35,2.06,CA,1569736800
447,Bandarbeyla,9.4942,50.8122,82.67,57,54,18.12,SO,1569736800
448,Richards Bay,-28.7745,32.0555,68.65,80,100,22.66,ZA,1569736800
449,Salinopolis,-0.6137,-47.3562,81.4,79,72,18.61,BR,1569736800
450,Puerto Baquerizo Moreno,-0.9,-89.6,67.86,83,6,7.58,EC,1569736800
451,Harper,30.2999,-99.2443,75.45,85,7,17.2,US,1569736800
452,San Patricio,-26.9767,-56.8274,64.21,64,0,5.08,PY,1569736800
453,Bambous Virieux,-20.3428,57.7575,77.68,67,15,11.52,MU,1569736800
454,Tuktoyaktuk,69.444,-133.032,37.93,70,99,9.57,CA,1569736800
455,Henties Bay,-22.1161,14.2845,61.57,96,8,5.5,NA,1569736800
456,Morlaix,48.5825,-3.8332,61.65,90,92,21.94,FR,1569736800
457,Sillamae,59.3997,27.7547,50.38,91,100,18.19,EE,1569736800
458,Carora,10.1656,-70.0815,67.34,97,19,2.73,VE,1569736800
459,Luce,46.6577,-95.6529,49.12,60,100,12.08,US,1569736800
460,Menongue,-14.6611,17.682,65.54,23,17,0.98,AO,1569736800
461,Yara,20.274,-76.9533,75.8,94,100,1.7,CU,1569736800
462,Dakar,14.6934,-17.448,79.96,81,0,11.83,SN,1569736800
463,Nouadhibou,20.931,-17.0347,69.91,84,0,26.75,MR,1569736800
464,Beipiao,41.7998,120.7635,74.74,23,27,7.23,CN,1569736800
465,Oranjemund,-28.552,16.4284,59.26,87,100,6.24,ZA,1569736800
466,Maraba,-5.3463,-49.1008,76.35,92,52,1.54,BR,1569736800
467,Karachi,24.8668,67.0311,92.75,51,8,9.1,PK,1569736800
468,Wasilla,61.5828,-149.4381,44.83,72,100,3.91,US,1569736800
469,Inca,-14.814,-68.4307,62.01,70,23,3.27,BO,1569736800
470,Shihezi,44.3,86.0333,83.16,27,45,14.03,CN,1569736800
471,Ewo,-0.8754,14.8145,71.17,90,95,8.68,CG,1569736800
472,Turgutlu,38.497,27.7061,63.95,62,0,4.92,TR,1569736800
473,Severo-Yeniseyskiy,60.3725,93.0408,36.5,74,86,5.01,RU,1569736800
474,Kalmunai,7.4167,81.8167,81.13,73,100,6.15,LK,1569736800
475,Homer,59.6441,-151.5402,47.01,91,100,22.03,US,1569736800
476,Kitimat,54.0175,-128.6884,44.44,64,0,6.91,CA,1569736800
477,Kyakhta,50.3532,106.4492,58.52,52,97,3.87,RU,1569736800
478,Iraan,30.914,-101.898,77.7,72,0,23.51,US,1569736800
479,Tevaitoa,-16.7834,-151.5,77.54,84,3,20.85,PF,1569736800
480,Kristianstad,56.0294,14.1567,53.28,89,54,8.95,SE,1569736800
481,Lasa,34.9245,32.5278,80.47,46,0,1.34,CY,1569736800
482,Rosario,-34.3116,-57.3513,57.31,89,0,12.77,UY,1569736800
483,Belmonte,40.3583,-7.3513,54.99,55,0,1.66,PT,1569736800
484,Merauke,-8.4903,140.3956,78.77,85,50,22.41,ID,1569736800
485,Boa Vista,2.8213,-60.6724,76.54,82,72,2.66,BR,1569736800
486,Ormara,25.2088,64.6357,92.34,44,12,10.36,PK,1569736800
487,Kendari,-3.9919,122.518,86,50,100,8.81,ID,1569736800
488,Halle,50.7361,4.2374,58.3,73,100,18.66,BE,1569736800
489,Sinazongwe,-17.2614,27.4611,73.21,14,9,3.87,ZM,1569736800
490,Atambua,-9.1066,124.892,79.04,65,24,4.07,ID,1569736800
491,Acapulco,16.8603,-99.8769,76.14,95,100,9.06,MX,1569736800
492,Tura,64.2742,100.217,33.3,62,100,5.12,RU,1569736800
493,Eureka,40.8021,-124.1637,55.3,82,0,14.52,US,1569736800
494,Guayaramerin,-10.8182,-65.3551,75.17,87,19,3.96,BO,1569736800
495,Deputatskiy,69.3,139.9,24.68,88,89,3,RU,1569736800
496,Santiago del Estero,-27.7952,-64.2615,71.3,43,0,7.65,AR,1569736800
497,Pouebo,-20.4,164.5667,73.39,65,98,3.42,NC,1569736800
498,Sanghar,29.4776,73.9298,93.62,37,32,4.45,IN,1569736800
499,High Rock,26.6265,-78.2833,79.43,82,2,17.4,BS,1569736800
500,Biak,-0.9132,122.8766,72.16,81,99,3.33,ID,1569736800
501,Gboko,7.3179,8.9951,73.82,90,100,9.89,NG,1569736800
502,Castrillon,43.3979,-6.7922,61.07,54,12,7,ES,1569736800
503,Pizarro,4.9538,-77.3668,79.07,82,100,6.42,CO,1569736800
504,Tecoanapa,16.9875,-99.2589,75.81,97,100,5.64,MX,1569736800
505,Yumen,40.2917,97.0449,82.48,10,47,0.25,CN,1569736800
506,Quatre Cocos,-20.2078,57.7625,77.58,67,15,11.52,MU,1569736800
507,Danilov,58.1908,40.1717,40.18,78,99,7.25,RU,1569736800
508,Leopold,38.1039,-86.5834,73.49,75,91,4.41,US,1569736800
509,Breves,-1.6823,-50.4803,73.67,90,55,2.68,BR,1569736800
510,Genhe,50.7833,121.5167,50.17,40,100,5.3,CN,1569736800
511,Mozarlandia,-14.7448,-50.5706,84.78,44,99,1.92,BR,1569736800
512,Avondale,47.4202,-53.1922,51.07,87,88,2.59,CA,1569736800
513,Verkhoyansk,67.5527,133.3912,35.01,51,48,7.76,RU,1569736800
514,Ulaangom,49.98,92.0689,66.29,28,34,6.2,MN,1569736800
515,Cabadiangan,10.4526,123.9846,90.28,76,52,9.51,PH,1569736800
516,Kasamwa,-2.8428,32.4235,68.98,75,97,1.79,TZ,1569736800
517,Athabasca,54.7215,-113.2858,27.36,71,12,3.47,CA,1569736800
518,Constantine,36.3645,6.6083,67.93,67,0,1.41,DZ,1569736800
519,Kargasok,59.0598,80.8709,35.98,96,100,8.88,RU,1569736800
520,Wanning,48.6402,13.529,50.11,94,100,6.02,AT,1569736800
521,Shakawe,-18.3633,21.8398,68.06,11,8,4.74,BW,1569736800
522,Novikovo,51.1537,37.8879,50.13,65,99,9.57,RU,1569736800
523,Kouango,4.9941,19.9767,71.91,95,100,1.45,CF,1569736800
524,Sola,-3.1731,33.8019,78.01,53,88,2.68,TZ,1569736800
525,Puerto Leguizamo,-0.1934,-74.7819,73.08,86,63,0.96,CO,1569736800
526,Miandrivazo,-19.5313,45.4588,86.76,42,7,3.13,MG,1569736800
527,Tiznit,29.6986,-9.7313,70.58,72,0,6.69,MA,1569736800
528,Coahuayana,18.6201,-100.3453,70.85,98,100,2.37,MX,1569736800
529,Olinda,-37.8438,145.3856,57.81,66,45,13.09,AU,1569736800
530,Warwick,41.7002,-71.4162,67.08,97,100,5.41,US,1569736800
531,Muros,42.7744,-9.0576,63.99,95,93,24.2,ES,1569736800
532,Helong,25.9445,116.1341,89.33,39,0,6.89,CN,1569736800
533,Sangmelima,2.9333,11.9833,67.19,99,100,3.47,CM,1569736800
534,Monroe,41.9145,-83.3969,55.53,83,29,6.46,US,1569736800
535,Yeniseysk,58.4532,92.1748,42.57,70,70,6.06,RU,1569736800
536,Mao,19.5516,-71.077,76.57,91,100,3.56,DO,1569736800
537,Kodinsk,58.5963,99.1829,37.26,76,100,10.47,RU,1569736800
538,Vila Velha,-3.7125,-38.6045,79.74,75,70,9.8,BR,1569736800
539,San Cayetano,5.3316,-74.0277,67.59,98,98,1.99,CO,1569736800
540,Pouembout,-21.1218,164.8966,73.64,77,85,10.49,NC,1569736800
541,Halifax,44.6491,-63.5752,54.94,87,80,8.25,CA,1569736800
542,Tautira,-17.7334,-149.15,80.96,85,53,19.82,PF,1569736800
543,Binghamton,42.097,-75.9144,60.19,98,69,5.48,US,1569736800
544,Quthing,-30.4001,27.7003,62.05,12,8,4.21,LS,1569736800
545,Visnes,59.3556,5.2242,55.03,83,0,3.02,NO,1569736800
546,Necochea,-38.5473,-58.7368,56.68,73,0,12.53,AR,1569736800
547,Calama,-22.4624,-68.9273,51.55,28,4,7.4,CL,1569736800
548,Galway,53.2744,-9.0491,52.54,91,100,6.29,IE,1569736800
549,Kamenka,48.0322,28.7042,59.92,77,81,12.44,MD,1569736800
550,Puerto Lleras,8.1568,-72.4617,74.98,91,78,2.37,CO,1569736800
551,Sept-Iles,50.2001,-66.3821,45.21,85,96,9.4,CA,1569736800
